TenDiaDanh,DiaChi,NoiDung,ImageURL
Trung tâm Văn hóa Huyền Trân,"151 Thiên Thai, phường An Tây, Phường An Tây, Thành phố Huế, Thừa Thiên Huế","Những thế kỷ trước, nhân dân Huế đã lập đền thờ Huyền Trân Công Chúa tại một điểm phía Nam thành phố Huế, nhưng do chiến tranh và những biến thiên của lịch sử nên đến nay không còn nữa.",N/A
Cầu Ngói Thanh Toàn,"Xã Thủy Thanh, thị xã Hương Thủy, Xã Thủy Thanh, Thị xã Hương Thủy, Thừa Thiên Huế","Cầu ngói Thanh Toàn cách thành phố Huế khoảng 8km về phía Đông Nam thuộc xã Thủy Thanh, huyện Hương Thủy, tỉnh Thừa Thiên Huế.",N/A
Nhà vườn Lương Quán – Nguyệt Biều,"Phường Thủy Biều, thành phố Huế, Phường Thuỷ Biều, Thành phố Huế, Thừa Thiên Huế","Nhà vườn Lương Quán – Nguyệt Biều, phường Thủy Biều, thành phố Huế, tỉnh Thừa Thiên Huế được công nhận là địa điểm du lịch của tỉnh Thừa Thiên Huế theo Quyết định số 2791/QĐ-UBND ban hành ngày 21/12/2018)",N/A
Làng Cổ Phước Tích,"Xã Phong Hòa, huyện Phong Điền, Xã Phong Hòa, Huyện Phong Điền, Thừa Thiên Huế","Cách trung tâm thành phố Huế 40 km về hướng Bắc là làng cổ Phước Tích với vẻ đẹp nguyên sơ của một làng quê Việt Nam. Làng được bao bọc bởi con sông Ô lâu trong xanh, hiền hòa. Theo sử sách, Phước Tích được thành lập từ năm 1470 dưới thời vua Lê Thành Tông, có diện tích khoảng 49 ha.",N/A
Điểm du lịch sinh thái Đầm Chuồn,"xã Phú An, thị xã Hương Thủy, Phường Phú Bài, Thị xã Hương Thủy, Thừa Thiên Huế","Cách trung tâm thành phố Huế 6km, Đầm chuồn ở phía Đông Bắc xã Phú An, huyện Phú Vang là một trong những hệ thống đầm phá quan trọng của tỉnh Thừa Thiên Huế. Đây là Đầm nước lợ trong hệ thống Đầm Phá Tam Giang nổi tiếng với vẻ đẹp bình yên, sông nước bao la, cùng với những đặc sản hấp dẫn với giá thành hết sức bình dân.",N/A
Làng nghề truyền thống Hoa giấy Thanh Tiên – Tranh dân gian Làng Sình,"xã Phú Mậu, Huyện Phú Vang, Xã Phú Mậu, Huyện Phú Vang, Thừa Thiên Huế",UBND tỉnh Thừa Thiên Huế đã ký Quyết định số 949/QĐ-UBND về việc công nhận điểm du lịch Làng nghề truyền thống Hoa giấy Thanh Tiên – Tranh dân gian làng Sình.,N/A
Điểm du lịch sinh thái YesHue Eco,"xã Hương Phú, huyện Nam Đông, Xã Hương Phú, Huyện Nam Đông, Thừa Thiên Huế","YesHue Eco thuộc thôn Xuân Phú, xã Hương Phú, huyện Nam Đông, tỉnh Thừa Thiên Huế, nằm cách thành phố Huế 65km thuộc Nam Đông. Thác Mơ – Nam Đông được tạo thành những nguồn nước bắt nguồn từ núi rừng Bạch Mã cao hơn 1.400 mét so với mực nước biển đổ về. Thác Mơ được người dân địa phương và quanh vùng biết đến khá lâu bởi cảnh sắc thiên nhiên tuyệt đẹp với những cánh rừng xanh ngát bao phủ soi mình dưới làn nước trong veo, mát lạnh.",N/A
Hồ Truồi,"Xã Lộc Hòa, huyện Phú Lộc, Xã Lộc Hòa, Huyện Phú Lộc, Thừa Thiên Huế","Hồ Truồi từ khi hình thành đến nay, luôn có mặt trong những điểm tham quan du lịch Huế đáng để du khách ghé thăm. Từ thành phố Huế đi khoảng 30km về phía nam theo quốc lộ 1A, từ đây đi thêm 10km nữa là đến hồ Truồi. Điểm đến này vốn là một công trình thủy lợi lớn nhất Thừa Thiên Huế được xây dựng vào năm 1996 với dung tích lên đến 60 triệu mét khối, đập tràn cao 50 mét.",N/A
Thác Nhị Hồ,"xã Lộc Trì, huyện Phú Lộc, Xã Lộc Trì, Huyện Phú Lộc, Thừa Thiên Huế","Thác Nhị Hồ là một thác nước đẹp mà thiên nhiên đã hào phóng ban tặng nằm trong dãy núi Bạch Mã, là điểm trung tâm nằm trong thế tam giác giữa Thành phố Huế, Bạch Mã, Lăng Cô, cách trung tâm thành phố Huế khoảng 45 km về phía Nam, cách Quốc lộ 1A gần 4km. Với nhiều lợi thế thiên nhiên ưu đãi, là điểm du lịch vừa có đồi núi, khe suối, đầm phá Cầu Hai. Có cửa biển Tư Hiền giáp biển và cũng là điểm nằm sát vùng đệm Vườn Quốc gia Bạch mã nên từ lâu Nhị Hồ đã nổi tiếng và thu hút nhiều du khách tới tham quan, du lịch, thưởng ngoạn.",N/A
Bảo tàng Lịch sử thành phố Hồ Chí Minh,"02 Nguyễn Bỉnh Khiêm, P. Bến Nghé, Quận 1, Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh","Bảo tàng Lịch sử Thành phố Hồ Chí Minh là bảo tàng lớn và có lịch sử phát triển lâu đời ở khu vực phía Nam Việt Nam. Tọa lạc tại trung tâm thành phố, tại số 02 Nguyễn Bỉnh Khiêm, phường Bến Nghé, Quận 1, bảo tàng là điểm đến thu hút đông đảo công chúng trong nước và quốc tế.",N/A
Chợ Bến Thành,"Cửa Nam – Chợ Bến Thành, Phường Bến Thành, Quận 1, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh","Tọa lạc tại Quận 1, TP. Hồ Chí Minh, tiếp giáp với đường Lê Lợi ở phía nam, đường Phan Bội Châu ở phía đông, Phan Chu Trinh ở phía tây và Lê Thánh Tôn ở phía bắc, chợ Bến Thành là chợ bán lẻ quy mô lớn nhất thành phố với đầy đủ các mặt hàng từ bình dân đến cao cấp và là điểm đến hấp dẫn không thể bỏ qua của du khách khi đến TP. Hồ Chí Minh.",N/A
Nhà trưng bày Hoàng Sa,"Hoàng Sa, Thọ Quang, Sơn Trà, Đà Nẵng, Phường Thọ Quang, Quận Sơn Trà, Thành phố Đà Nẵng","Nhà trưng bày Hoàng Sa được UBND huyện đảo Hoàng Sa (TP Đà Nẵng) tổ chức khởi công xây dựng trên đường Hoàng Sa (quận Sơn Trà, TP Đà Nẵng) vào ngày 7-12-2015. Nhà trưng bày Hoàng Sa do Công ty Kiến trúc WRIGHT (Nhật Bản) tư vấn thiết kế và được thi công xây dựng trên diện tích 1.296m², gồm 1 trệt, 3 tầng nổi, cao 18m với diện tích sàn 1.824m².",N/A
Thắng cảnh Hương Sơn,"Khu danh thắng Hương Sơn thuộc xã Hương Sơn, huyện Mỹ Đức, Hà Nội.","Đặc điểm: Nơi đây phong cảnh hữu tình, có ""Nam Thiên đệ nhất động"" (động đẹp nhất trời Nam).",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/24Hchuahuong001JPG.jpg
Thắng cảnh Tràng Kênh,Thắng cảnh Tràng Kênh thuộc huyện Thủy Nguyên cách trung tâm thành phố Hải Phòng 20km về phía đông bắc.,"Ðặc điểm: Tràng Kênh là một quần thể đồi núi đá vôi hang động, sông, nước với cảnh trí thiên nhiên nên thơ.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/28TCtrangkenh01.jpg
Cảng cá - Chợ cá Thuận Phước,"Số 15 Thuận Phước, Quận Hải Châu, Thành phố Đà Nẵng","Địa chỉ: 15 Thuận Phước, quận Hải Châu, Tp. Đà Nẵng.Đặc điểm: Cảng cá Thuận Phước - nơi diễn ra các hoạt động mua bán nhộn nhịp suốt ngày đêm và là điểm đầu mối cung cấp hải sản tươi sống cho các đơn vị chế biến thuỷ sản tại địa phương, một số tỉnh lân cận và các chợ nhỏ lẻ trong thành phố.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Cangcathuanphuoc02.jpg
Làng cổ Tuý Loan,"Làng Túy Loan nằm ở hướng tây nam thành phố Đà Nẵng, thuộc địa phận xã Hòa Phong, huyện Hòa Vang.","Đặc điểm: Làng Tuý Loan đã hình thành trên 500 năm, mang đậm dấu ấn của lịch sử, truyền thống và bản sắc văn hóa làng quê Việt Nam.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Langtuyloan02.jpg
Đền Nghè,"thuộc phường An Biên, quận Lê Chân, thành phố Hải Phòng, cách Nhà hát Thành phố Hải Phòng khoảng 600m.","Đặc điểm: là điểm du lịch văn hóa tâm linh tiêu biểu của thành phố Hải Phòng, nổi bật với nghệ thuật chạm khắc trên gỗ, đá.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/28Dennghe01JPG.jpg
Khu Bảo tồn sinh quyển thế giới Cát Bà,"Khu Bảo tồn sinh quyển thế giới Cát Bà nằm trên đảo Cát Bà, thuộc thị trấn Cát Bà, huyện Cát Hải, Tp.",Đặc điểm: Đây là một trong những khu bảo tồn sinh quyển thế giới.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/28CatBa02.jpg
Thành phố Hải Phòng,N/A,"Diện tích: 1.527,4 km²

	Dân số: 1.963,3 nghìn người (2015).

	Các quận, huyện:

	- Quận: Hồng Bàng, Ngô Quyền, Lê Chân, Kiến An, Hải An, Dương Kinh, Đồ Sơn.

	- Huyện: Thủy Nguyên, An Dương, An Lão, Kiến Thụy, Tiên Lãng, Vĩnh Bảo, Cát Hải, Bạch Long Vĩ.

	Dân tộc: Việt (Kinh), Hoa, Tày, Nùng...",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/01HPTPhoJPG.jpg
Biệt thự Bảo Đại,"phường Vạn Hương, quận Đồ Sơn, TP.","Đặc điểm: là một công trình kiến trúc độc đáo, có giá trị lịch sử đặc sắc",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaiPhong/BTBaoDai/Baodai01JPG.jpg
Nghĩa trang Khuê Trung,"Thuộc khu vực Bình Hòa 1, phường Khuê Trung, quận Hải Châu, thành phố Đà Nẵng.",Đặc điểm: Nghĩa trang Khuê Trung được lập theo sắc tứ vua ban để qui tụ hài cốt tướng sĩ vị quốc vong thân trong cuộc kháng chiến chống quân Pháp xâm lược năm 1858.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Nghiatrangkhuetung01.jpg
Đình Nại Nam,"Đình làng Nại Nam nay ở khối phố Nam Sơn, phường Hòa Cường, quận Hải Châu, thành phố Đà Nẵng.","Đặc điểm: Di tích đình Nại Nam, ngoài giá trị của một di tích kiến trúc - nghệ thuật còn là một trong những đình làng cổ tiêu biểu khá nguyên vẹn còn lại trong nội thành Đà Nẵng.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Dinhdainam01.jpg
Nhà thờ phái chư tộc Quá Giáng,"Thôn Quá Giáng, Xã Hòa Phước, Huyện Hòa Vang, Thành phố Đà Nẵng","Vị trí: Nhà thờ phái chư tộc Quá Giáng nay nằm ở thôn Quá Giáng, xã Hòa Phước, huyện Hòa Vang, thành phố Đà Nẵng.
	Đặc điểm: Nhà thờ được xây dựng năm Tân Tỵ (1821) thờ Quan Thánh và các vị tiền hiền của bốn tộc Đinh, Lê, Trần, Nguyễn - những người có công theo Chúa Nguyễn vào Nam khai phá đất đai lập nên làng Quá Giáng.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15TocQuaGiang01.jpg
Thành Điện Hải,"Di tích thành Điện Hải tọa lạc tại phường Thạch Thang, quận Hải Châu, thành phố Đà Nẵng.","Đặc điểm: Thành Điện Hải là một dấu ấn ghi nhớ truyền thống đấu tranh chống Pháp của nhân dân Đà Nẵng và nhân dân cả nước, quyết tâm giữ vững nền độc lập dân tộc, bảo vệ lãnh thổ.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Thanhdienhai01.jpg
Mộ Ông Ích Khiêm,"Toạ lạc tại nghĩa trang xã Hòa Thọ, huyện Hòa Vang, thành phố Đà Nẵng, cách trung tâm thành phố 10km về phía tây - nam.",Đặc điểm: Mộ Ông Ích Khiêm được Bộ Văn hóa - Thông tin công nhận là di tích quốc gia vào ngày 12/7/2001,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Moongich01JPG.jpg
Cung Thể thao Tiên Sơn,"Số 3 Phan Đăng Lưu, Quận Hải Châu, Thành phố Đà Nẵng","Vị trí: số 3 Phan Đăng Lưu, quận Hải Châu, TP. Đà Nẵng.
	Đặc điểm: có kiến trúc được đánh giá là hiện đại nhất khu vực Đông Nam Á.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/Cungthethao-TienSon.jpg
Đình Bồ Bản,"Thôn Bồ Bản, Xã Hòa Phong, Huyện Hòa Vang, Thành phố Đà Nẵng","Vị trí: Đình Bồ Bản hiện ở tại thôn Bồ Bản, xã Hòa Phong, huyện Hòa Vang, thành phố Đà Nẵng.
	Đặc điểm: Đình được xây dựng vào những năm đầu của thế kỷ 19 bằng thanh tre tại gò miếu Tam Vị.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Dinhdoban01.jpg
Đình Tuý Loan,"Thôn Túy Loan,, Xã Hòa Phong, Huyện Hòa Vang, Thành phố Đà Nẵng","Vị trí: Đình Tuý Loan hiện ở tại thôn Túy Loan, xã Hòa Phong, huyện Hòa Vang, thành phố Đà Nẵng.
	Đặc điểm: Đình Túy Loan là ngôi đình duy nhất còn giữ được 15 sắc phong từ thời Minh Mạng đến Bảo Đại.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/15Dinhtuyloan01.jpg
Làng đá mỹ nghệ Non Nước,"Làng đá mỹ nghệ Non Nước thuộc phường Hòa Hải, quận Ngũ Hành Sơn, thành phố Đà Nẵng.",Đặc điểm: Đây là nơi sản xuất đồ mỹ nghệ bằng đá cẩm thạch nổi tiếng khắp trong và ngoài nước.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/LangdamyngheNonNuoc/NonNuocMarbleCarvingVillage7.jpg
Bãi biển Nam Ô,"Bãi tắm Nam Ô thuộc địa phận phường Hòa Hiệp, quận Liên Chiểu, thành phố Đà Nẵng, cách trung tâm thành phố 17km về phía tây bắc.","Đặc điểm:  Bãi tắm Nam Ô có độ dốc vừa phải, ven theo chân núi, phong cảnh sơn thủy rất hữu tình.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/BienNamO/15Biennamo02.jpg
Bảo tàng điêu khắc Chămpa,"02, đường 2 tháng 9, Phường Bình Hiên, Quận Hải Châu, Thành phố Đà Nẵng","Vị trí: Bảo tàng nằm ở điểm tiếp giáp của hai con đường Trưng Nữ Vương và Bạch Ðằng, thành phố Ðà Nẵng.
	Đặc điểm: Ðây là bộ sưu tập cuối cùng về nghệ thuật điêu khắc Chămpa trên thế giới được đặt tại Ðà Nẵng, trung tâm cũ của vương quốc Chămpa.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/BaotangChamDN/MuseumofChamSculpture10.jpg
Bà Nà - Núi Chúa,"Thuộc xã Hòa Ninh, huyện Hòa Vang, thành phố Đà Nẵng, cách trung tâm thành phố khoảng 30km về phía tây nam.",Đặc điểm: được coi là “lá phổi xanh” của Đà Nẵng.,http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/KDLBaNaNuichua/BaNaChuaMount3.jpg
Ngũ Hành Sơn,"Ngũ Hành Sơn thuộc phường Hoà Hải, quận Ngũ Hành Sơn, cách trung tâm thành phố Đà Nẵng khoảng 7km về phía đông nam.","Đặc điểm: Ngũ Hành Sơn nằm trên một dải cát vàng chiều dài khoảng 2km, rộng khoảng 800m.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/Nguhanhson/Nguhanhson1.jpg
Đình Hàng Kênh,"Số 55 phố Nguyễn Công Trứ, Phường Hàng Kênh, Quận Lê Chân, Thành phố Hải Phòng","Vị trí: tọa lạc tại số 55 phố Nguyễn Công Trứ, phường Hàng Kênh, quận Lê Chân, thành phố Hải Phòng.

	Đặc điểm: là một trong những ngôi đình cổ của Hải Phòng.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaiPhong/DinhHangKenh/Dinhhangkenh02JPG.jpg
Bãi biển Ðồ Sơn,"Bãi biển Ðồ Sơn nằm ở quận Đồ Sơn, Tp.",Đặc điểm: Ðồ Sơn là khu nghỉ mát và tắm biển nổi tiếng ở miền Bắc.,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaiPhong/DoSon/Biendoson01JPG.jpg
Chùa Tam Thai,"Chùa tọa lạc ở xã Hòa Hải, huyện Hòa Vang, trong khu vực Ngũ Hành Sơn, thành phố Đà Nẵng, cách trung tâm thành phố 13km.","Đặc điểm: Chùa ở sườn núi phía Nam (Thủy Sơn), đi lên 156 bậc đá, là ngôi chùa cổ được dựng vào thời Hậu Lê.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/ChuaTamthai/TamThaiPagoda2.jpg
Đèo Hải Vân,"Đèo Hải Vân nằm trải dài theo sườn núi Hải Vân, giữa tỉnh Thừa Thiên – Huế và thành phố Đà Nẵng.Đặc điểm: Đây là đèo cao nhất (khoảng 500m so với mực nước biển), đầy hiểm trở và cũng là đỉnh núi cuối cùng của một mạch Trường Sơn đâm ngang ra biển.","Vị trí: Đèo Hải Vân nằm trải dài theo sườn núi Hải Vân, giữa tỉnh Thừa Thiên – Huế và thành phố Đà Nẵng.Đặc điểm: Đây là đèo cao nhất (khoảng 500m so với mực nước biển), đầy hiểm trở và cũng là đỉnh núi cuối cùng của một mạch Trường Sơn đâm ngang ra biển.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/DeoHaiVan/HaiVanPass.jpg
Khu bảo tồn thiên nhiên Sơn Trà,"Khu bảo tồn thiên nhiên Sơn Trà trên bán đảo Sơn Trà (hay còn gọi là Sơn Chà) thuộc địa phận quận Sơn Trà, thành phố Đà Nẵng.","Đặc điểm: Đây là một quần thể rừng và biển đẹp nằm bên cạnh thành phố, được công nhận là khu bảo tồn thiên nhiên quốc gia năm 1980.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/Biensontra/SonTraPeninsula-.jpg
Lễ hội Cá Ông,N/A,"Thời gian: Hai ngày trung tuần tháng 3 âm lịch.
	Đối tượng thờ phụng: Cá Ông
	Đặc điểm: Ðã từ bao đời nay, lễ hội Cá Ông (còn được gọi là lễ tế cá Voi) là lễ hội lớn nhất của ngư dân tỉnh Quảng Nam - Ðà Nẵng.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/LHcaong/LHcong01.jpg
Bảo tàng Hồ Chí Minh,"Số 01 đường Duy Tân, Phường Hòa Thuận Đông, Quận Hải Châu, Thành phố Đà Nẵng","Vị trí: Số 01 đường Duy Tân, thành phố Đà Nẵng.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/DaNang/BTHoChiMinh/BT-Quan-khu-5-Large.jpg
Bến Ninh Kiều,"Tọa lạc giữa ngã ba sông Hậu và sông Cần Thơ, thuộc phường Tân An, quận Ninh Kiều, thành phố Cần Thơ.","Đặc điểm: Với vẻ đẹp sông nước hữu tình, hình ảnh bến Ninh Kiều đã đi vào thơ ca và trở thành biểu tượng của thành phố Cần Thơ.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/CanTho/BenNinhKieu/BenNinhkieu01.jpg
Thiền viện Trúc Lâm Phương Nam,"nằm trong khu di tích lịch sử Lộ Vòng Cung thuộc ấp Mỹ Nhơn, xã Mỹ Khánh, huyện Phong Điền, TP.",Đặc điểm: là một trong những thiền viện lớn nhất ở miền Tây Nam bộ,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/Thien-vien-TLPN.jpg
Chùa Nam Nhã,"Số 612 đường Cách Mạng Tháng Tám, Phường An Thới, Quận Bình Thuỷ, Thành phố Cần Thơ","Địa chỉ: 612 đường Cách Mạng Tháng Tám, phường An Thới, quận Bình Thủy, Tp. Cần Thơ.
	Đặc điểm: Chùa do ông Nguyễn Giác Nguyên đứng ra xây dựng năm 1895, theo tông phái Minh Sư nên còn được gọi là chùa Minh Sư.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/13Chuanhanam01.jpg
Du lịch vườn Cần Thơ,"Vườn Cần Thơ có trên khắp các tuyến đường bộ, đường thuỷ ở Tp.",Đặc điểm: Các vườn du lịch xanh tươi đã và đang thu hút ngày càng đông du khách trong và ngoài nước đến thăm.,http://csdl.vietnamtourism.gov.vn/uploads/images/icon/13DLvuon02.jpg
Đình Bình Thủy,"Đình Bình Thủy, tên cũ là đình Long Tuyền, toạ lạc trên đất phường Bình Thủy, quận Bình Thủy, Tp.","Đặc điểm: Đình Bình Thủy là một công trình có giá trị về kiến trúc ở miền tây Nam Bộ, vùng đất mới khai phá với những mảng chạm, những họa tiết trang trí, khắc gỗ rất tinh tế và sinh động mang nhiều nét kiến trúc dân tộc.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/CanTho/DinhBinhThuy/DinhBinhThuy01.jpg
Chợ nổi Cái Răng,"Chợ nổi Cái Răng thuộc quận Cái Răng, Tp.","Đặc điểm: Chợ nổi Cái Răng chuyên mua bán nông sản, các loại trái cây của vùng.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/ChoCaiRang01.jpg
Nhà cổ Bình Thủy,"Đường Bùi Hữu Nghĩa, Phường Bình Thủy, Quận Bình Thuỷ, Thành phố Cần Thơ","Vị trí: Nhà cổ Bình Thuỷ nằm trên đường Bùi Hữu Nghĩa phường Bình Thuỷ, quận Bình Thủy, Tp. Cần Thơ.
	Đặc điểm: Ngôi nhà cổ năm gian hai mái, kiến trúc kiểu Pháp được gia đình họ Dương xây vào năm 1870.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/CanTho/Nhacobinhthuy/DinhBinhThuy01.jpg
Chùa Ông,"Số 32 Hai Bà Trưng, Phường Tân An, Quận Ninh Kiều, Thành phố Cần Thơ","Vị trí: 32 Hai Bà Trưng, quận Ninh Kiều, TP. Cần Thơ.
	Đặc điểm: Chùa mang kiến trúc độc đáo, đặc trưng của những ngôi chùa Trung Hoa.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/CanTho/ChuaOng/Chuaong01.jpg
Bảo tàng Phụ nữ Nam Bộ,"Số 202 Võ Thị Sáu, Phường 07, Quận 3, Thành phố Hồ Chí Minh","Vị trí: 202 Võ Thị Sáu, phường 7, quận 3, Tp. Hồ Chí Minh.
	Ðặc điểm: Toà nhà này nguyên là dinh cơ của Nguyễn Ngọc Loan - Giám đốc Tổng nha Cảnh Sát chế độ nguỵ quyền Sài Gòn cũ. Năm 1984 được Nhà nước giao làm Nhà truyền thống Phụ nữ Nam Bộ. Sau đó được xây thêm toà nhà 4 tầng và đổi thành Bảo tàng Phụ nữ Nam Bộ",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/30BTphunu01JPG.jpg
Bảo tàng Mỹ thuật Tp. Hồ Chí Minh,"Số 97A Phó Ðức Chính, Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh","Vị trí:  97A Phó Ðức Chính, Quận 1, TP. Hồ Chí Minh.
	Đặc điểm: Bảo tàng có chức năng nghiên cứu, sưu tầm, bảo quản, trưng bày những tài liệu, hiện vật và tác phẩm mỹ thuật của Việt Nam và thế giới.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/30BTmythuat02JPG.jpg
Bảo tàng chứng tích chiến tranh,"Số 28 Võ Văn Tần, Phường 06, Quận 3, Thành phố Hồ Chí Minh","Vị trí:  28 Võ Văn Tần, quận 3, Tp. Hồ Chí Minh.
	Đặc điểm: là một trong những địa chỉ văn hóa du lịch có sức thu hút cao, được sự quan tâm của công chúng trong và ngoài nước.",http://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/Hochiminh/BTChungtichchientranh/BTChientranh01JPG.jpg
Đền Ngọc Sơn,"Nằm trên đảo Ngọc Sơn thuộc hồ Hoàn Kiếm, thành phố Hà Nội.",Đặc điểm: Tuy là một ngôi đền kiến trúc mới xong đền Ngọc Sơn lại là một điển hình về không gian và tạo tác kiến trúc.,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/DenNgocSon/Denngocson01JPG.jpg
Lăng Đồng Khánh,"Lăng Ðồng Khánh được xây dựng trên vùng đất thuộc làng Cư Sĩ, nay là thôn Thượng Hai, xã Thuỷ Xuân, Tp.",Đặc điểm: Lăng Đồng Khánh được xây dựng trong 4 đời vua (1888 - 1923) nên vừa mang lối kiến trúc xưa vừa chịu ảnh hưởng của kiến trúc Tây Âu.,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/ThuathienHue/Langdongkhanh/Langdongkhanh03.jpg
Hội quán Quảng Đông,"17 đường Trần Phú, Thành phố Hội An, Quảng Nam","Vị trí: Số 17 đường Trần Phú, thành phố Hội An.

	Đặc điểm: Hội quán được Hoa Kiều Quảng Đông xây dựng vào năm 1885, thoạt đầu để thờ Thiên Hậu Thánh Mẫu và Đức Khổng Tử, sau năm 1911 chuyển sang thờ Quan Công và Tiền Hiền.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/QuangNam/HoiquanQuangDong/QuangDongAssemblyHall.jpg
Bãi biển Sầm Sơn,"Bãi biển Sầm Sơn thuộc thị xã Sầm Sơn, tỉnh Thanh Hóa, cách thành phố Thanh Hóa 16km.","Đặc điểm: Bờ biển dài, bằng phẳng, phong cảnh hùng vĩ, đã được người Pháp khai thác từ năm 1906.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/ThanhHoa/BienSamson/Samson05.jpg
Chùa Quán Sứ,"73 phố Quán Sứ, Phường Trần Hưng Đạo, Quận Hoàn Kiếm, Thành phố Hà Nội","Vị trí: Số 73 phố Quán Sứ, phường Trần Hưng Ðạo, quận Hoàn Kiếm, Hà Nội.

	Ðặc điểm: Là trụ sở của Trung ương hội Phật giáo Việt Nam.",https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/HaNoi/Chuaquansu/Chuaquansu2.jpg
Hồ Đa Nhim - Đèo Ngoạn Mục,"Hồ Đa Nhim - Đèo Ngoạn Mục nằm trên con đường từ Phan Rang lên Đà Lạt, thuộc huyện Đơn Dương, cách thành phố Đà Lạt 40km về hướng đông.",Đặc điểm: Hồ Đa Nhim - Đèo Ngoạn Mục là một bức tranh thiên nhiên tuyệt đẹp với con đường vừa uốn lượn vừa gấp khúc...,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/LamDong/Deodanhimngoanmuc/HoDaNhim01thienSuuTam.jpg
Bãi biển Cửa Tùng,"Biển Cửa Tùng thuộc huyện Vĩnh Linh, tỉnh Quảng Trị.","Đặc điểm: Cửa Tùng hấp dẫn du khách với bãi biển đẹp, cát trắng, phẳng mịn cùng các địa danh lịch sử như Vĩ tuyến 17, Cầu Hiền Lương, sông Bến Hải, Nghĩa trang liệt sĩ Trường Sơn... ở gần đó.",http://csdl.vietnamtourism.gov.vn/uploads/images/icon/CuaTungBeach-1JPG.jpg
Suối nước khoáng Mỹ An,"Mỹ An thuộc xã Phú Dương, huyện Phú Vang, cách thành phố Huế 7 km về phía đông trên đường đi từ Huế đến bãi biển Thuận An.",Đặc điểm: Nước khoáng Mỹ An có thể so sánh với nhiều loại nước khoáng nổi tiếng trên thế giới như ở Koundour (Liên Xô cũ) và Paven Banis (Bungari).,https://csdl.vietnamtourism.gov.vn/uploads/images/CSDLDLVN2019/ThuathienHue/SuoikhoangMyAn/Thanhtan01.jpg
